<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GILD,1,20200102,173100,65.5200000,65.7300000,65.5000000,65.7300000,1458
US1.GILD,1,20200102,173200,65.6900000,65.6900000,65.4000000,65.4100000,2000
US1.GILD,1,20200102,173300,65.3300000,65.5500000,65.3300000,65.4800000,3376
US1.GILD,1,20200102,173400,65.5400000,65.5700000,65.5350000,65.5700000,1200
US1.GILD,1,20200102,173500,65.5800000,65.6100000,65.5100000,65.5100000,2862
US1.GILD,1,20200102,173600,65.5300000,65.6100000,65.5300000,65.6100000,1400
US1.GILD,1,20200102,173700,65.5500000,65.6200000,65.5450000,65.6200000,1551
US1.GILD,1,20200102,173800,65.6600000,65.6600000,65.5500000,65.5500000,700
US1.GILD,1,20200102,173900,65.5500000,65.5700000,65.5300000,65.5500000,900
US1.GILD,1,20200102,174000,65.5500000,65.5500000,65.5300000,65.5400000,3193
US1.GILD,1,20200102,174100,65.5500000,65.5700000,65.5350000,65.5450000,2200
US1.GILD,1,20200102,174200,65.5500000,65.5500000,65.5300000,65.5300000,1757
US1.GILD,1,20200102,174300,65.5300000,65.5300000,65.5100000,65.5300000,2110
US1.GILD,1,20200102,174400,65.5100000,65.5100000,65.3900000,65.3900000,2857
US1.GILD,1,20200102,174500,65.4000000,65.4000000,65.3100000,65.3400000,1244
US1.GILD,1,20200102,174600,65.3200000,65.4100000,65.3200000,65.4100000,2484
US1.GILD,1,20200102,174700,65.4300000,65.4500000,65.4050000,65.4050000,1390
US1.GILD,1,20200102,174800,65.4100000,65.4100000,65.4100000,65.4100000,200
US1.GILD,1,20200102,174900,65.4000000,65.4000000,65.3400000,65.3400000,700
US1.GILD,1,20200102,175000,65.3100000,65.3100000,65.2700000,65.3000000,1481
US1.GILD,1,20200102,175100,65.3100000,65.3300000,65.3100000,65.3300000,600
US1.GILD,1,20200102,175200,65.3200000,65.3200000,65.2700000,65.2800000,839
US1.GILD,1,20200102,175300,65.3000000,65.3200000,65.2700000,65.3200000,1100
US1.GILD,1,20200102,175400,65.3300000,65.3600000,65.3300000,65.3600000,4100
US1.GILD,1,20200102,175500,65.3200000,65.3200000,65.2700000,65.3000000,1322
US1.GILD,1,20200102,175600,65.2900000,65.3200000,65.2700000,65.3200000,1400
